"Note: A 2% flat Payment Fee applies to all categories and is included in the final commission fee listed under the column ""Total Fee with Payment and VAT"".",,,,,,,,,,,,,,
Category,Sub-category 1,Sub-category 2,Sub-category 3,Sub-category 4,Commission,Total Fee with Payment and VAT,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Survival kits,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camp Furniture,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camp Kitchen,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Lighting,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Navigation & Electronics,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Backpacks,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Shelters & Canopies,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Climbing,Chalk & Bags,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Climbing,"Ropes, Cords & Slings",,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Climbing,Carabiners & Quickdraws,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Climbing,Climbing Gloves,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Climbing,Harnesses,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Climbing,Belay Devices,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Climbing,Climbing Holds,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Cycling,Bike Accessories,,12.35%,16.22%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Cycling,Bikes,,6.96%,10.12%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Cycling,Bikes,,6.96%,10.12%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Cycling,Bike Accessories,,12.35%,16.22%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Cycling,Bikes Parts,,12.35%,16.22%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Cycling,Cycling Clothing,,10.88%,14.55%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Cycling,Bike Accessories,,12.35%,16.22%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Cycling,Cycling Clothing,,10.88%,14.55%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Cycling,Cycling Clothing,,9.14%,12.59%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Cycling,Bikes Parts,,10.88%,14.55%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Cycling,Bikes,,8.70%,12.09%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Cycling,Bikes Parts,,12.35%,16.22%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Cycling,Bike Accessories,,10.88%,14.55%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Cycling,Bike Accessories,,10.88%,14.55%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Cycling,Bike Accessories,,10.88%,14.55%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Cycling,Bikes Parts,,10.88%,14.55%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Cycling,Bikes Parts,,10.88%,14.55%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Cycling,Bikes Parts,,10.88%,14.55%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Cycling,Bikes Parts,,10.88%,14.55%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Cycling,Bikes,,6.96%,10.12%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Cycling,Bikes Parts,,10.88%,14.55%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Cycling,Bikes Parts,,10.88%,14.55%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Cycling,Bikes Parts,,10.88%,14.55%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Cycling,Bike Accessories,,10.88%,14.55%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Fishing,Fishing Rod & Reel Sets,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Fishing,Fishing Rods,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Fishing,Fishing Lines,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Fishing,Fishing Nets,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Fishing,Lures & Baits,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Fishing,Fishing Tackles,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Fishing,Accessories,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Golf,Training Equipment,,9.74%,13.27%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Golf,Accessories,,9.74%,13.27%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Golf,Balls,,9.74%,13.27%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Golf,Accessories,,9.74%,13.27%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Golf,Bags & Covers,,9.74%,13.27%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Inline & Roller Skates,Inline Skates,,9.74%,13.27%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Inline & Roller Skates,Roller Skates,,9.74%,13.27%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Inline & Roller Skates,Protective Pads,,9.74%,13.27%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Inline & Roller Skates,Helmets,,9.74%,13.27%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Inline & Roller Skates,Skates Parts,,9.74%,13.27%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Shooting,Archery,,9.74%,13.27%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Skateboards,Skateboards,,9.74%,13.27%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Skateboards,Skateboard Parts,,9.74%,13.27%,,,,,,,,
Sports & Outdoors,Outdoor Recreation,Skateboards,Helmets,,9.74%,13.27%,,,,,,,,
Sports & Outdoors,Racket Sports,Badminton,Rackets,,9.14%,12.59%,,,,,,,,
Sports & Outdoors,Racket Sports,Badminton,Shuttlecocks,,9.14%,12.59%,,,,,,,,
Sports & Outdoors,Racket Sports,Badminton,Bags & Covers,,9.14%,12.59%,,,,,,,,
Sports & Outdoors,Racket Sports,Badminton,Nets,,9.14%,12.59%,,,,,,,,
Sports & Outdoors,Racket Sports,Badminton,Grips & Tapes,,9.14%,12.59%,,,,,,,,
Sports & Outdoors,Racket Sports,Badminton,Strings,,9.14%,12.59%,,,,,,,,
Sports & Outdoors,Racket Sports,Table Tennis,Bats,,9.14%,12.59%,,,,,,,,
Sports & Outdoors,Racket Sports,Table Tennis,Tables,,9.14%,12.59%,,,,,,,,
Sports & Outdoors,Racket Sports,Table Tennis,Balls,,9.14%,12.59%,,,,,,,,
Sports & Outdoors,Racket Sports,Table Tennis,Nets,,9.14%,12.59%,,,,,,,,
Sports & Outdoors,Racket Sports,Tennis,Equipment Bags,,9.14%,12.59%,,,,,,,,
Sports & Outdoors,Racket Sports,Tennis,Strings,,9.14%,12.59%,,,,,,,,
Sports & Outdoors,Racket Sports,Tennis,Balls,,9.14%,12.59%,,,,,,,,
Sports & Outdoors,Racket Sports,Tennis,Rackets,,9.14%,12.59%,,,,,,,,
Sports & Outdoors,Racket Sports,Tennis,Grips & Tapes,,9.14%,12.59%,,,,,,,,
Sports & Outdoors,Racket Sports,Tennis,Training Equipment,,9.14%,12.59%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Boys,Clothing,Football,11.31%,15.04%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Boys,Shoes,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Boys,Shoes,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Boys,Shoes,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Boys,Shoes,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Boys,Clothing,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Boys,Clothing,Basketball,11.31%,15.04%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Boys,Clothing,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Girls,Clothing,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Men,Shoes,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Men,Shoes,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Men,Clothing,Football,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Men,Clothing,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Men,Clothing,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Men,Clothing,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Men,Shoes,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Men,Shoes,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Men,Clothing,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Men,Shoes,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Men,Shoes,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Men,Shoes,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Men,Shoes,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Men,Shoes,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Men,Clothing,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Men,Clothing,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Men,Clothing,Basketball Jerseys,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Men,Shoes,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Men,Shoes,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Men,Shoes,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Men,Accessories,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Men,Accessories,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Men,Clothing,Cycling,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Men,Bags,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Men,Clothing,Swim Trunks,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Unisex,Shoes,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Unisex,Shoes,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Unisex,Accessories,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Unisex,Accessories,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Unisex,Accessories,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Unisex,Clothing,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Unisex,Bags,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Unisex,Bags,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Unisex,Accessories,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Women,Clothing,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Women,Shoes,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Women,Shoes,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Women,Clothing,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Women,Shoes,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Women,Shoes,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Women,Clothing,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Women,Shoes,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Women,Clothing,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Women,Shoes,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Women,Shoes,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Women,Clothing,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Women,Shoes,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Women,Clothing,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Women,Clothing,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Women,Clothing,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Women,Bags,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Shoes & Clothing,Women,Shoes,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Sports Nutrition,Amino Acids,,,8.27%,11.61%,,,,,,,,
Sports & Outdoors,Sports Nutrition,Fat Burner,,,8.27%,11.61%,,,,,,,,
Sports & Outdoors,Sports Nutrition,Mass Gainer,,,8.27%,11.61%,,,,,,,,
Sports & Outdoors,Sports Nutrition,Post-Workout and Recovery,,,8.27%,11.61%,,,,,,,,
Sports & Outdoors,Sports Nutrition,Pre-Workout,,,8.27%,11.61%,,,,,,,,
Sports & Outdoors,Sports Nutrition,Protein,,,8.27%,11.61%,,,,,,,,
Sports & Outdoors,Team Sports,Baseball,Bats,,5.22%,8.16%,,,,,,,,
Sports & Outdoors,Team Sports,Baseball,Baseballs,,5.22%,8.16%,,,,,,,,
Sports & Outdoors,Team Sports,Basketball,Basketballs,,5.22%,8.16%,,,,,,,,
Sports & Outdoors,Team Sports,Basketball,Basketball Hoops,,5.22%,8.16%,,,,,,,,
Sports & Outdoors,Team Sports,Basketball,Protective Gear,,5.22%,8.16%,,,,,,,,
Sports & Outdoors,Team Sports,Basketball,Training Equipment,,5.22%,8.16%,,,,,,,,
Sports & Outdoors,Team Sports,Cheerleading,Poms & Accessories,,5.22%,8.16%,,,,,,,,
Sports & Outdoors,Team Sports,Cricket,Accessories,,4.79%,7.67%,,,,,,,,
Sports & Outdoors,Team Sports,Cricket,Bats,,4.79%,7.67%,,,,,,,,
Sports & Outdoors,Team Sports,Cricket,Balls,,4.79%,7.67%,,,,,,,,
Sports & Outdoors,Team Sports,Cricket,Gloves,,4.79%,7.67%,,,,,,,,
Sports & Outdoors,Team Sports,Football,Footballs,,4.79%,7.67%,,,,,,,,
Sports & Outdoors,Team Sports,Football,Goalkeeper Gloves,,4.79%,7.67%,,,,,,,,
Sports & Outdoors,Team Sports,Football,Training Equipment,,4.79%,7.67%,,,,,,,,
Sports & Outdoors,Team Sports,Football,Shin Guards,,4.79%,7.67%,,,,,,,,
Sports & Outdoors,Team Sports,Football,Equipment Bags,,4.79%,7.67%,,,,,,,,
Sports & Outdoors,Team Sports,Football,Goals & Nets,,4.79%,7.67%,,,,,,,,
Sports & Outdoors,Team Sports,Gymnastics,Training Equipment,,4.79%,7.67%,,,,,,,,
Sports & Outdoors,Team Sports,Gymnastics,Mats & Flooring,,4.79%,7.67%,,,,,,,,
Sports & Outdoors,Team Sports,Gymnastics,Accessories,,4.79%,7.67%,,,,,,,,
Sports & Outdoors,Team Sports,Volleyball,Volleyballs,,4.79%,7.67%,,,,,,,,
Sports & Outdoors,Team Sports,Volleyball,Training Equipment,,4.79%,7.67%,,,,,,,,
Sports & Outdoors,Team Sports,Volleyball,Protective Gear,,4.79%,7.67%,,,,,,,,
Sports & Outdoors,Team Sports,Volleyball,Nets & Accessories,,4.79%,7.67%,,,,,,,,
Sports & Outdoors,Water Sports,Boarding,Kneeboards,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Water Sports,Boating,Racks & Storage,,12.62%,16.52%,,,,,,,,
Sports & Outdoors,Water Sports,Diving & Snorkeling,Snorkeling Sets,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Water Sports,Diving & Snorkeling,Masks,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Water Sports,Diving & Snorkeling,Instruments,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Water Sports,Swimming,Floaties,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Water Sports,Swimming,Goggles,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Water Sports,Swimming,Accessories,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Water Sports,Swimming,Accessories,,10.01%,13.57%,,,,,,,,
Sports & Outdoors,Water Sports,Swimming,Swim Caps,,10.01%,13.57%,,,,,,,,
Stationery & Craft,Art Supplies,Art Easels,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Art Supplies,"Art Pads, Diaries & Folios",,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Art Supplies,Art Sets,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Art Supplies,Artist Brushes & Tools,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Art Supplies,Artist Inks & Paints,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Art Supplies,Artist Mediums & Varnishes,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Art Supplies,Book Coverings,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Art Supplies,Canvases,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Art Supplies,Colouring & Copic Art Range,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Art Supplies,Drawing & Drafting,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Art Supplies,Modelling & Sculpting,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Art Supplies,Paper Sheets,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Craft Supplies,Craft Sets,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Craft Supplies,General Craft,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Craft Supplies,Papercraft,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Craft Supplies,Scrapbooking,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Gifts & Wrapping,Book Plates & Markers,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Gifts & Wrapping,Gift Cards & Tags,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Gifts & Wrapping,Gift Wrapping & Bags,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Gifts & Wrapping,Holiday & Celebration Gifts,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Gifts & Wrapping,Novelty Gifts,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Gifts & Wrapping,Photo Albums,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Packaging & Cartons,Bubble Wrap,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Packaging & Cartons,Cartons,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Packaging & Cartons,Corrugated Cardboard,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Packaging & Cartons,Shipping Bags,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Packaging & Cartons,Shrink Wrap,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Paper Products,Calendars,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Paper Products,Copier Paper,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Paper Products,Diaries & Year Planners,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Paper Products,Envelopes & Mailers,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Paper Products,Fax Paper Rolls,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Paper Products,Index Cards,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Paper Products,Labels,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Paper Products,Note Books & Pads,,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Paper Products,"Post-it Notes, Flags & Tabs",,,10.88%,14.55%,,,,,,,,
Stationery & Craft,Religious Items,,,,10.44%,14.06%,,,,,,,,
Stationery & Craft,School & Office Equipment,Binders & Binder Accessories,,,12.18%,16.02%,,,,,,,,
Stationery & Craft,School & Office Equipment,Boards & Flipcharts,,,12.18%,16.02%,,,,,,,,
Stationery & Craft,School & Office Equipment,Bookends,,,12.18%,16.02%,,,,,,,,
Stationery & Craft,School & Office Equipment,Calculators,,,12.18%,16.02%,,,,,,,,
Stationery & Craft,School & Office Equipment,Cash Counters,,,12.18%,16.02%,,,,,,,,
Stationery & Craft,School & Office Equipment,"Clips, Pins & Tacks",,,12.18%,16.02%,,,,,,,,
Stationery & Craft,School & Office Equipment,Desk Organisers,,,12.18%,16.02%,,,,,,,,
Stationery & Craft,School & Office Equipment,Filing & Document Presentation,,,12.18%,16.02%,,,,,,,,
Stationery & Craft,School & Office Equipment,Geometry Sets,,,12.18%,16.02%,,,,,,,,
Stationery & Craft,School & Office Equipment,Glues & Adhesive,,,12.18%,16.02%,,,,,,,,
Stationery & Craft,School & Office Equipment,Label Maker & Tape,,,12.18%,16.02%,,,,,,,,
Stationery & Craft,School & Office Equipment,Paper Shredders,,,12.18%,16.02%,,,,,,,,
Stationery & Craft,School & Office Equipment,Pencil Cases & Boxes,,,12.18%,16.02%,,,,,,,,
Stationery & Craft,School & Office Equipment,Pencil Sharpeners,,,12.18%,16.02%,,,,,,,,
Stationery & Craft,School & Office Equipment,Rulers & Stencils,,,12.18%,16.02%,,,,,,,,
Stationery & Craft,School & Office Equipment,School Sets,,,12.18%,16.02%,,,,,,,,
Stationery & Craft,School & Office Equipment,Scissors & Cutters,,,12.18%,16.02%,,,,,,,,
Stationery & Craft,School & Office Equipment,Staplers & Punches,,,12.18%,16.02%,,,,,,,,
Stationery & Craft,School & Office Equipment,Stationery Fasteners,,,12.18%,16.02%,,,,,,,,
Stationery & Craft,School & Office Equipment,Stickers & Labels,,,12.18%,16.02%,,,,,,,,
Stationery & Craft,School & Office Equipment,Tapes & Dispensers,,,12.18%,16.02%,,,,,,,,
Stationery & Craft,Sewing,Haberdashery,,,9.57%,13.07%,,,,,,,,
Stationery & Craft,Sewing,Knitting & Crochet,,,9.57%,13.07%,,,,,,,,
Stationery & Craft,Sewing,Millinery,,,9.57%,13.07%,,,,,,,,
Stationery & Craft,Sewing,Needlework,,,9.57%,13.07%,,,,,,,,
Stationery & Craft,Sewing,Quilting,,,9.57%,13.07%,,,,,,,,
Stationery & Craft,Sewing,Trims,,,9.57%,13.07%,,,,,,,,
Stationery & Craft,Writing & Correction,Correction Liquid & Pens,,,10.01%,13.57%,,,,,,,,
Stationery & Craft,Writing & Correction,Digital Pens,,,10.01%,13.57%,,,,,,,,
Stationery & Craft,Writing & Correction,Erasers,,,10.01%,13.57%,,,,,,,,
Stationery & Craft,Writing & Correction,Highlighters & Markers,,,10.01%,13.57%,,,,,,,,
Stationery & Craft,Writing & Correction,Inks & Refills,,,10.01%,13.57%,,,,,,,,
Stationery & Craft,Writing & Correction,Pencils,,,10.01%,13.57%,,,,,,,,
Stationery & Craft,Writing & Correction,Pens,,,10.01%,13.57%,,,,,,,,
"Tools, DIY & Outdoor",Electrical,Batteries,,,10.93%,14.61%,,,,,,,,
"Tools, DIY & Outdoor",Electrical,"Cables, Leads & Adapters",,,10.23%,13.82%,,,,,,,,
"Tools, DIY & Outdoor",Electrical,Electrical Circuitry & Parts,,,10.23%,13.82%,,,,,,,,
"Tools, DIY & Outdoor",Electrical,Electrical Trade Tools & Testers,,,10.23%,13.82%,,,,,,,,
"Tools, DIY & Outdoor",Electrical,"Powerpoints, Switches & Savers",,,10.23%,13.82%,,,,,,,,
"Tools, DIY & Outdoor",Fire Safety,Fire Alarms & Releases,,,8.70%,12.09%,,,,,,,,
"Tools, DIY & Outdoor",Fire Safety,Fire Extinguishers,,,8.70%,12.09%,,,,,,,,
"Tools, DIY & Outdoor",Fixtures & Plumbing,Bathroom Fittings,,,10.23%,13.82%,,,,,,,,
"Tools, DIY & Outdoor",Fixtures & Plumbing,Bathroom Tapware,,,10.23%,13.82%,,,,,,,,
"Tools, DIY & Outdoor",Fixtures & Plumbing,Fixture Parts & Components,,,10.23%,13.82%,,,,,,,,
"Tools, DIY & Outdoor",Fixtures & Plumbing,Hoses & Pipes,,,10.23%,13.82%,,,,,,,,
"Tools, DIY & Outdoor",Fixtures & Plumbing,Kitchen Fittings,,,10.23%,13.82%,,,,,,,,
"Tools, DIY & Outdoor",Fixtures & Plumbing,Kitchen Tapware,,,10.23%,13.82%,,,,,,,,
"Tools, DIY & Outdoor",Fixtures & Plumbing,Traps & Drains,,,11.31%,15.04%,,,,,,,,
"Tools, DIY & Outdoor",Fixtures & Plumbing,Valves,,,11.31%,15.04%,,,,,,,,
"Tools, DIY & Outdoor",Hand Tools,Caulking Guns,,,11.31%,15.04%,,,,,,,,
"Tools, DIY & Outdoor",Hand Tools,Clamps,,,11.31%,15.04%,,,,,,,,
"Tools, DIY & Outdoor",Hand Tools,Cleaning Tools,,,11.31%,15.04%,,,,,,,,
"Tools, DIY & Outdoor",Hand Tools,"Fastening, Gluing & Soldering",,,11.31%,15.04%,,,,,,,,
"Tools, DIY & Outdoor",Hand Tools,Files,,,11.31%,15.04%,,,,,,,,
"Tools, DIY & Outdoor",Hand Tools,Fuel Cans & Drums,,,11.31%,15.04%,,,,,,,,
"Tools, DIY & Outdoor",Hand Tools,Hammers,,,11.31%,15.04%,,,,,,,,
"Tools, DIY & Outdoor",Hand Tools,Hand Tool Parts & Accessories,,,11.31%,15.04%,,,,,,,,
"Tools, DIY & Outdoor",Hand Tools,Hand Trucks & Dollies,,,11.31%,15.04%,,,,,,,,
"Tools, DIY & Outdoor",Hand Tools,Hex Keys & Spline Keys,,,11.31%,15.04%,,,,,,,,
"Tools, DIY & Outdoor",Hand Tools,Industrial Supplies,,,11.31%,15.04%,,,,,,,,
"Tools, DIY & Outdoor",Hand Tools,Inspection Tools,,,11.31%,15.04%,,,,,,,,
"Tools, DIY & Outdoor",Hand Tools,Pliers,,,11.31%,15.04%,,,,,,,,
"Tools, DIY & Outdoor",Hand Tools,Pneumatic Grease Gun,,,11.31%,15.04%,,,,,,,,
"Tools, DIY & Outdoor",Hand Tools,Prying Tools,,,11.31%,15.04%,,,,,,,,
"Tools, DIY & Outdoor",Hand Tools,Ratchets & Sockets,,,11.31%,15.04%,,,,,,,,
"Tools, DIY & Outdoor",Hand Tools,Saws,,,11.31%,15.04%,,,,,,,,
"Tools, DIY & Outdoor",Hand Tools,Scissors & Snips,,,11.31%,15.04%,,,,,,,,
"Tools, DIY & Outdoor",Hand Tools,Screw & Nut Drivers,,,11.31%,15.04%,,,,,,,,
"Tools, DIY & Outdoor",Hand Tools,Speciality Knives & Multi-Tools,,,11.31%,15.04%,,,,,,,,
"Tools, DIY & Outdoor",Hand Tools,Swiss Knives,,,11.31%,15.04%,,,,,,,,
"Tools, DIY & Outdoor",Hand Tools,Tool Sets,,,11.31%,15.04%,,,,,,,,
